ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Failure_ID	BreakAge
60176	4	CI	1968	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60177	8	CI	1969	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60178	8	CI	1969	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60179	8	CI	1969	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60180	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60181	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60182	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60183	4	CI	1968	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60184	4	CI	1968	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60185	4	CI	1968	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60186	4	CI	1968	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60187	6	CI	1968	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60188	6	CI	1968	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60189	6	CI	1968	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60190	4	CI	1968	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60191	6	CI	1968	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60192	4	CI	1968	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60193	6	DI	1991	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60194	6	CI	1968	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60195	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60196	6	CI	1968	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60197	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60198	4	CI	1968	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60199	4	CI	1968	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60200	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60201	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60202	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60203	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60204	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60205	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60206	12	CI	1967	DI	NULL	12	0	NULL	NULL	NULL	NULL	NULL
60207	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60208	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60209	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60210	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60211	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60212	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60213	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60214	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60215	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60216	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60217	4	CI	1967	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60218	4	CI	1967	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60219	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60220	6	CI	1967	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60221	4	CI	1967	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60222	4	CI	1967	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60223	8	CI	1967	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60224	6	DI	1986	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60225	6	DI	1986	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60226	3	DI	1986	DI	NULL	3	0	NULL	NULL	NULL	NULL	NULL
60227	6	DI	1986	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60228	6	DI	1986	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60229	6	DI	1986	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60230	6	DI	1986	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60231	6	DI	1986	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60232	6	DI	1986	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60233	6	DI	1986	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60234	6	DI	1986	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60235	6	DI	1991	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60236	6	DI	1991	DI	NULL	6	0	NULL	2008	2008-05-29 00:00:00.000	5085	17
60237	6	DI	1991	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60238	4	CI	1967	DI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60239	6	CI	1928	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60240	6	CI	1928	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60241	6	DI	1972	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60242	6	CI	1922	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60243	6	CI	1912	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60244	6	DI	1978	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60245	6	DI	1978	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60246	6	DI	1978	DI	1978	6	0	1978-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60247	6	DI	1978	DI	1978	6	0	1978-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60248	6	DI	1978	DI	1978	6	0	1978-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60249	6	CI	1955	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60250	6	CI	1955	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60251	6	CI	1955	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60252	6	DI	1997	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60253	8	DI	1997	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
